caseid,curweek,curyear,received_job_offers,how_many_job_offers,offered_wage,previous_wage,acceptance_yn
100153077,43,2009,Yes,,23.076923076923077,21.634615384615383,y
100491971,42,2009,Yes,1.0,17.0,19.23076923076923,y
100827266,48,2009,Yes,1.0,17.0,20.0,y
101157791,42,2009,Yes,,20.97902097902098,144.23076923076923,y
101736491,50,2009,Yes,1.0,45.0,45.0,y
101896825,43,2009,Yes,,10.0,12.0,y
101982764,48,2009,Yes,1.0,9.5,9.5,y
102184051,43,2009,Yes,,15.0,14.423076923076923,y
102197392,43,2009,Yes,2.0,21.0,26.442307692307693,n
103779816,45,2009,Yes,1.0,23.557692307692307,21.153846153846153,y
103813545,53,2009,Yes,1.0,30.0,23.076923076923077,y
105415781,43,2009,Yes,2.0,20.79002079002079,24.03846153846154,n
105415781,44,2009,Yes,,20.79002079002079,24.03846153846154,n
105432522,48,2009,Yes,1.0,8.5,9.0,y
105777210,49,2009,Yes,1.0,36.324786324786324,31.25,y
105819846,43,2009,Yes,1.0,13.0,13.0,y
105895301,42,2009,Yes,,16.0,15.0,y
106491573,43,2009,Yes,,14.95,14.423076923076923,y
106530498,53,2009,Yes,2.0,23.076923076923077,38.46153846153846,y
106561223,49,2009,Yes,1.0,50.0,48.07692307692308,y
107123734,47,2009,Yes,,15.0,21.428571428571427,y
107607562,50,2009,Yes,1.0,27.0,22.0,y
107962274,51,2009,Yes,1.0,10.0,18.0,y
108075214,50,2009,Yes,2.0,13.0,15.865384615384615,n
108438318,42,2009,Yes,,15.0,19.23076923076923,y
108598270,49,2009,Yes,1.0,8.0,11.0,n
108946547,53,2009,Yes,1.0,8.5,10.0,y
109648019,46,2009,Yes,1.0,9.0,10.0,n
111678969,44,2009,Yes,3.0,,28.846153846153847,n
111678969,48,2009,Yes,1.0,21.367521367521366,32.69230769230769,n
111705959,47,2009,Yes,,23.0,25.0,y
112349998,45,2009,Yes,1.0,36.94331983805668,33.65384615384615,y
112931153,48,2009,Yes,1.0,7.4,7.4,y
115636686,42,2009,Yes,1.0,13.247863247863247,12.820512820512821,y
115647992,44,2009,Yes,1.0,20.0,18.26923076923077,y
116378972,45,2009,Yes,1.0,26.0,26.0,y
117104734,49,2009,Yes,,15.0,12.307692307692308,y
117540187,43,2009,Yes,1.0,35.0,55.0,n
118493972,44,2009,Yes,,18.0,20.0,y
118957810,44,2009,Yes,1.0,8.5,8.0,y
119155495,46,2009,Yes,1.0,19.0,19.0,y
119186624,46,2009,Yes,1.0,35.0,20.0,y
