wage_diff_interval,total_count,accept_count,acceptance_ratio_per_interval
"[-1.0, -0.9)",0,,
"[-0.9, -0.8)",0,,
"[-0.8, -0.7)",21,11.0,0.5238095238095238
"[-0.7, -0.6)",30,20.0,0.6666666666666666
"[-0.6, -0.5)",44,29.0,0.6590909090909091
"[-0.5, -0.4)",59,36.0,0.6101694915254238
"[-0.4, -0.3)",53,36.0,0.6792452830188679
"[-0.3, -0.2)",78,50.0,0.6410256410256411
"[-0.2, -0.1)",103,81.0,0.7864077669902912
"[-0.1, 0.0)",97,81.0,0.8350515463917526
"[0.0, 0.1)",338,317.0,0.9378698224852071
"[0.1, 0.2)",95,82.0,0.8631578947368421
"[0.2, 0.3)",74,67.0,0.9054054054054054
"[0.3, 0.4)",45,36.0,0.8
"[0.4, 0.5)",40,38.0,0.95
"[0.5, 0.6)",7,7.0,1.0
"[0.6, 0.7)",4,4.0,1.0
"[0.7, 0.8)",0,,
"[0.8, 0.9)",0,,
"[0.9, 1.0)",0,,
