wage_diff_interval,total_count,accept_count,acceptance_ratio_per_interval
"[-1.0, -0.9)",0,,
"[-0.9, -0.8)",5,2.0,0.4
"[-0.8, -0.7)",16,7.0,0.4375
"[-0.7, -0.6)",19,11.0,0.5789473684210527
"[-0.6, -0.5)",32,18.0,0.5625
"[-0.5, -0.4)",42,22.0,0.5238095238095238
"[-0.4, -0.3)",41,24.0,0.5853658536585366
"[-0.3, -0.2)",64,40.0,0.625
"[-0.2, -0.1)",79,58.0,0.7341772151898734
"[-0.1, 0.0)",62,52.0,0.8387096774193549
"[0.0, 0.1)",237,220.0,0.9282700421940928
"[0.1, 0.2)",70,57.0,0.8142857142857143
"[0.2, 0.3)",44,40.0,0.9090909090909091
"[0.3, 0.4)",30,22.0,0.7333333333333333
"[0.4, 0.5)",23,21.0,0.9130434782608695
"[0.5, 0.6)",6,6.0,1.0
"[0.6, 0.7)",5,5.0,1.0
"[0.7, 0.8)",0,,
"[0.8, 0.9)",0,,
"[0.9, 1.0)",0,,
