wage_diff_interval,total_count,accept_count,acceptance_ratio_per_interval
"[-1.0, -0.9)",0,,
"[-0.9, -0.8)",6,2.0,0.3333333333333333
"[-0.8, -0.7)",17,7.0,0.4117647058823529
"[-0.7, -0.6)",27,11.0,0.4074074074074074
"[-0.6, -0.5)",47,18.0,0.3829787234042553
"[-0.5, -0.4)",60,22.0,0.36666666666666664
"[-0.4, -0.3)",58,24.0,0.41379310344827586
"[-0.3, -0.2)",91,40.0,0.43956043956043955
"[-0.2, -0.1)",114,58.0,0.5087719298245614
"[-0.1, 0.0)",85,52.0,0.611764705882353
"[0.0, 0.1)",279,220.0,0.7885304659498208
"[0.1, 0.2)",89,57.0,0.6404494382022472
"[0.2, 0.3)",68,40.0,0.5882352941176471
"[0.3, 0.4)",42,22.0,0.5238095238095238
"[0.4, 0.5)",27,21.0,0.7777777777777778
"[0.5, 0.6)",10,6.0,0.6
"[0.6, 0.7)",6,5.0,0.8333333333333334
"[0.7, 0.8)",0,,
"[0.8, 0.9)",0,,
"[0.9, 1.0)",0,,
