wage_diff_quantile_bin,avg_offer,total_count,accept_count,acceptance_ratio_per_interval
"(-0.917, -0.549]",-0.691362756547657,85,24,0.2823529411764706
"(-0.549, -0.366]",-0.43768177255923174,99,28,0.2828282828282828
"(-0.366, -0.248]",-0.29584557127655303,86,33,0.38372093023255816
"(-0.248, -0.154]",-0.19789033953264187,91,40,0.43956043956043955
"(-0.154, -0.069]",-0.11077809189362492,88,45,0.5113636363636364
"(-0.069, 0.0]",-0.012711182044862148,159,102,0.6415094339622641
"(0.0, 0.0392]",0.03066515550475989,29,24,0.8275862068965517
"(0.0392, 0.134]",0.09071592119670915,83,46,0.5542168674698795
"(0.134, 0.287]",0.20205375979458498,91,61,0.6703296703296703
"(0.287, 0.693]",0.406468749615158,86,45,0.5232558139534884
