case_id,sample_id,sample_race,sample_sex,offered_wage,previous_wage,acceptance_yn
26.0,1.0,3.0,1.0,335.0,650.0,y
26.0,1.0,3.0,1.0,335.0,650.0,n
242.0,5.0,3.0,2.0,600.0,475.0,y
242.0,5.0,3.0,2.0,460.0,475.0,n
275.0,6.0,3.0,2.0,350.0,375.0,y
275.0,6.0,3.0,2.0,335.0,375.0,n
416.0,5.0,3.0,2.0,800.0,1166.0,y
416.0,5.0,3.0,2.0,650.0,1166.0,n
429.0,1.0,3.0,1.0,721.0,96.0,y
429.0,1.0,3.0,1.0,673.0769230769231,96.0,n
460.0,5.0,3.0,2.0,437.0,400.0,y
460.0,5.0,3.0,2.0,387.5,400.0,n
467.0,5.0,3.0,2.0,525.0,437.0,y
467.0,5.0,3.0,2.0,350.0,437.0,n
731.0,1.0,3.0,1.0,416.0,1365.0,y
731.0,1.0,3.0,1.0,500.0,1365.0,n
868.0,1.0,3.0,1.0,166.0,685.0,y
868.0,1.0,3.0,1.0,350.0,685.0,n
907.0,1.0,3.0,1.0,407.0,360.0,y
907.0,1.0,3.0,1.0,335.0,360.0,n
969.0,5.0,3.0,2.0,120.0,133.0,y
969.0,5.0,3.0,2.0,31.25,133.0,n
1072.0,3.0,2.0,1.0,333.0,650.0,y
1072.0,3.0,2.0,1.0,460.0,650.0,n
1073.0,7.0,2.0,2.0,375.0,340.0,y
1073.0,7.0,2.0,2.0,365.0,340.0,n
1171.0,1.0,3.0,1.0,652.0,307.0,y
1171.0,1.0,3.0,1.0,562.5,307.0,n
1234.0,5.0,3.0,2.0,800.0,500.0,y
1234.0,5.0,3.0,2.0,800.0,500.0,n
1306.0,5.0,3.0,2.0,425.0,444.0,y
1306.0,5.0,3.0,2.0,562.5,444.0,n
1424.0,1.0,3.0,1.0,550.0,1125.0,y
1424.0,1.0,3.0,1.0,1075.0,1125.0,n
1452.0,4.0,1.0,1.0,55.0,650.0,y
1452.0,4.0,1.0,1.0,650.0,650.0,n
1485.0,3.0,2.0,1.0,650.0,375.0,y
1485.0,3.0,2.0,1.0,450.0,375.0,n
1571.0,5.0,3.0,2.0,257.0,275.0,y
1571.0,5.0,3.0,2.0,350.0,275.0,n
1584.0,5.0,3.0,2.0,415.0,390.0,y
1584.0,5.0,3.0,2.0,340.0,390.0,n
1645.0,4.0,1.0,1.0,581.0,825.0,y
1645.0,4.0,1.0,1.0,900.0,825.0,n
1666.0,8.0,1.0,2.0,550.0,335.0,y
1666.0,8.0,1.0,2.0,525.0,335.0,n
1679.0,1.0,3.0,1.0,600.0,518.0,y
1679.0,1.0,3.0,1.0,700.0,518.0,n
1715.0,3.0,2.0,1.0,550.0,425.0,y
1715.0,3.0,2.0,1.0,450.0,425.0,n
1792.0,1.0,3.0,1.0,425.0,404.0,y
1792.0,1.0,3.0,1.0,500.0,404.0,n
1838.0,8.0,1.0,2.0,705.0,340.0,y
1838.0,8.0,1.0,2.0,340.0,340.0,n
1853.0,5.0,3.0,2.0,641.0,384.0,y
1853.0,5.0,3.0,2.0,1923.076923076923,384.0,n
1922.0,5.0,3.0,2.0,400.0,350.0,y
1922.0,5.0,3.0,2.0,335.0,350.0,n
2062.0,5.0,3.0,2.0,500.0,180.0,y
2062.0,5.0,3.0,2.0,265.0,180.0,n
2118.0,1.0,3.0,1.0,1125.0,400.0,y
2118.0,1.0,3.0,1.0,375.0,400.0,n
2133.0,5.0,3.0,2.0,153.0,201.0,y
2133.0,5.0,3.0,2.0,335.0,201.0,n
2149.0,1.0,3.0,1.0,500.0,275.0,y
2149.0,1.0,3.0,1.0,300.0,275.0,n
2177.0,1.0,3.0,1.0,500.0,425.0,y
2177.0,1.0,3.0,1.0,500.0,425.0,n
2360.0,7.0,2.0,2.0,377.0,350.0,y
2360.0,7.0,2.0,2.0,335.0,350.0,n
2415.0,1.0,3.0,1.0,465.0,575.0,y
2415.0,1.0,3.0,1.0,335.0,575.0,n
2435.0,5.0,3.0,2.0,500.0,414.0,y
2435.0,5.0,3.0,2.0,335.0,414.0,n
2694.0,4.0,1.0,1.0,666.0,500.0,y
2694.0,4.0,1.0,1.0,350.0,500.0,n
2783.0,1.0,3.0,1.0,1011.0,850.0,y
2783.0,1.0,3.0,1.0,925.0,850.0,n
2987.0,5.0,3.0,2.0,751.0,196.0,y
2987.0,5.0,3.0,2.0,412.5,196.0,n
3002.0,4.0,1.0,1.0,375.0,388.0,y
3002.0,4.0,1.0,1.0,335.0,388.0,n
3036.0,5.0,3.0,2.0,857.0,840.0,y
3036.0,5.0,3.0,2.0,762.5,840.0,n
3048.0,5.0,3.0,2.0,405.0,450.0,y
3048.0,5.0,3.0,2.0,312.5,450.0,n
3090.0,5.0,3.0,2.0,406.0,392.0,y
3090.0,5.0,3.0,2.0,390.625,392.0,n
3118.0,5.0,3.0,2.0,406.0,335.0,y
3118.0,5.0,3.0,2.0,250.0,335.0,n
3193.0,1.0,3.0,1.0,750.0,375.0,y
3193.0,1.0,3.0,1.0,769.2307692307693,375.0,n
3533.0,2.0,3.0,1.0,576.0,312.0,y
3533.0,2.0,3.0,1.0,528.8461538461538,312.0,n
3581.0,1.0,3.0,1.0,1075.0,350.0,y
3581.0,1.0,3.0,1.0,817.3076923076923,350.0,n
3620.0,1.0,3.0,1.0,509.0,390.0,y
3620.0,1.0,3.0,1.0,375.0,390.0,n
3681.0,5.0,3.0,2.0,400.0,500.0,y
3681.0,5.0,3.0,2.0,335.0,500.0,n
3862.0,1.0,3.0,1.0,446.0,500.0,y
3862.0,1.0,3.0,1.0,375.0,500.0,n
4252.0,5.0,3.0,2.0,565.0,244.0,y
4252.0,5.0,3.0,2.0,350.0,244.0,n
4270.0,7.0,2.0,2.0,244.0,256.0,y
4270.0,7.0,2.0,2.0,335.0,256.0,n
4296.0,5.0,3.0,2.0,584.0,265.0,y
4296.0,5.0,3.0,2.0,432.6923076923077,265.0,n
4307.0,1.0,3.0,1.0,510.0,550.0,y
4307.0,1.0,3.0,1.0,500.0,550.0,n
4315.0,3.0,2.0,1.0,750.0,530.0,y
4315.0,3.0,2.0,1.0,550.0,530.0,n
4352.0,6.0,3.0,2.0,750.0,555.0,y
4352.0,6.0,3.0,2.0,181.0,555.0,n
4373.0,5.0,3.0,2.0,500.0,335.0,y
4373.0,5.0,3.0,2.0,400.0,335.0,n
4431.0,7.0,2.0,2.0,475.0,325.0,y
4431.0,7.0,2.0,2.0,425.0,325.0,n
4633.0,1.0,3.0,1.0,500.0,600.0,y
4633.0,1.0,3.0,1.0,687.5,600.0,n
4700.0,5.0,3.0,2.0,625.0,395.0,y
4700.0,5.0,3.0,2.0,576.9230769230769,395.0,n
4797.0,5.0,3.0,2.0,365.0,325.0,y
4797.0,5.0,3.0,2.0,335.0,325.0,n
4829.0,1.0,3.0,1.0,335.0,500.0,y
4829.0,1.0,3.0,1.0,335.0,500.0,n
4836.0,2.0,3.0,1.0,968.0,1100.0,y
4836.0,2.0,3.0,1.0,600.0,1100.0,n
4841.0,5.0,3.0,2.0,357.0,252.0,y
4841.0,5.0,3.0,2.0,406.0,252.0,n
4845.0,1.0,3.0,1.0,1197.0,450.0,y
4845.0,1.0,3.0,1.0,550.0,450.0,n
4848.0,5.0,3.0,2.0,335.0,335.0,y
4848.0,5.0,3.0,2.0,335.0,335.0,n
4858.0,1.0,3.0,1.0,1045.0,550.0,y
4858.0,1.0,3.0,1.0,800.0,550.0,n
