case_id,sample_id,sample_race,sample_sex,offered_wage,previous_wage,acceptance_yn
26.0,1.0,3.0,1.0,335.0,500.0,y
26.0,1.0,3.0,1.0,335.0,500.0,n
45.0,1.0,3.0,1.0,600.0,686.0,y
45.0,1.0,3.0,1.0,400.0,686.0,n
68.0,5.0,3.0,2.0,500.0,320.0,y
68.0,5.0,3.0,2.0,500.0,320.0,n
74.0,5.0,3.0,2.0,400.0,416.0,y
74.0,5.0,3.0,2.0,370.0,416.0,n
119.0,1.0,3.0,1.0,340.0,262.0,y
119.0,1.0,3.0,1.0,340.0,262.0,n
152.0,5.0,3.0,2.0,437.0,300.0,y
152.0,5.0,3.0,2.0,500.0,300.0,n
162.0,1.0,3.0,1.0,375.0,375.0,y
162.0,1.0,3.0,1.0,350.0,375.0,n
213.0,1.0,3.0,1.0,200.0,375.0,y
213.0,1.0,3.0,1.0,315.0,375.0,n
242.0,5.0,3.0,2.0,600.0,361.0,y
242.0,5.0,3.0,2.0,460.0,361.0,n
261.0,1.0,3.0,1.0,500.0,320.0,y
261.0,1.0,3.0,1.0,290.0,320.0,n
275.0,6.0,3.0,2.0,350.0,335.0,y
275.0,6.0,3.0,2.0,335.0,335.0,n
294.0,5.0,3.0,2.0,625.0,312.0,y
294.0,5.0,3.0,2.0,325.0,312.0,n
372.0,1.0,3.0,1.0,400.0,435.0,y
372.0,1.0,3.0,1.0,350.0,435.0,n
408.0,1.0,3.0,1.0,543.0,533.0,y
408.0,1.0,3.0,1.0,450.0,533.0,n
416.0,5.0,3.0,2.0,800.0,833.0,y
416.0,5.0,3.0,2.0,650.0,833.0,n
437.0,5.0,3.0,2.0,585.0,450.0,y
437.0,5.0,3.0,2.0,250.0,450.0,n
454.0,5.0,3.0,2.0,783.0,350.0,y
454.0,5.0,3.0,2.0,335.0,350.0,n
488.0,1.0,3.0,1.0,350.0,970.0,y
488.0,1.0,3.0,1.0,290.0,970.0,n
509.0,1.0,3.0,1.0,345.0,310.0,y
509.0,1.0,3.0,1.0,285.0,310.0,n
547.0,1.0,3.0,1.0,1538.0,960.0,y
547.0,1.0,3.0,1.0,290.0,960.0,n
671.0,3.0,2.0,1.0,400.0,250.0,y
671.0,3.0,2.0,1.0,335.0,250.0,n
732.0,1.0,3.0,1.0,800.0,425.0,y
732.0,1.0,3.0,1.0,585.0,425.0,n
755.0,8.0,1.0,2.0,680.0,486.0,y
755.0,8.0,1.0,2.0,325.0,486.0,n
851.0,1.0,3.0,1.0,850.0,625.0,y
851.0,1.0,3.0,1.0,400.0,625.0,n
855.0,5.0,3.0,2.0,465.0,348.0,y
855.0,5.0,3.0,2.0,466.0,348.0,n
868.0,1.0,3.0,1.0,166.0,320.0,y
868.0,1.0,3.0,1.0,350.0,320.0,n
1001.0,7.0,2.0,2.0,335.0,390.0,y
1001.0,7.0,2.0,2.0,335.0,390.0,n
1042.0,2.0,3.0,1.0,350.0,341.0,y
1042.0,2.0,3.0,1.0,450.0,341.0,n
1054.0,1.0,3.0,1.0,355.0,312.0,y
1054.0,1.0,3.0,1.0,400.0,312.0,n
1064.0,1.0,3.0,1.0,956.0,700.0,y
1064.0,1.0,3.0,1.0,642.0,700.0,n
1072.0,3.0,2.0,1.0,333.0,500.0,y
1072.0,3.0,2.0,1.0,460.0,500.0,n
1073.0,7.0,2.0,2.0,375.0,240.0,y
1073.0,7.0,2.0,2.0,365.0,240.0,n
1106.0,5.0,3.0,2.0,425.0,150.0,y
1106.0,5.0,3.0,2.0,320.0,150.0,n
1156.0,3.0,2.0,1.0,441.0,432.0,y
1156.0,3.0,2.0,1.0,310.0,432.0,n
1178.0,5.0,3.0,2.0,370.0,315.0,y
1178.0,5.0,3.0,2.0,335.0,315.0,n
1207.0,7.0,2.0,2.0,345.0,325.0,y
1207.0,7.0,2.0,2.0,335.0,325.0,n
1234.0,5.0,3.0,2.0,800.0,425.0,y
1234.0,5.0,3.0,2.0,800.0,425.0,n
1571.0,5.0,3.0,2.0,257.0,250.0,y
1571.0,5.0,3.0,2.0,350.0,250.0,n
1584.0,5.0,3.0,2.0,415.0,365.0,y
1584.0,5.0,3.0,2.0,340.0,365.0,n
1624.0,5.0,3.0,2.0,625.0,325.0,y
1624.0,5.0,3.0,2.0,335.0,325.0,n
1628.0,1.0,3.0,1.0,581.0,390.0,y
1628.0,1.0,3.0,1.0,330.0,390.0,n
1629.0,5.0,3.0,2.0,955.0,451.0,y
1629.0,5.0,3.0,2.0,275.0,451.0,n
1637.0,1.0,3.0,1.0,375.0,310.0,y
1637.0,1.0,3.0,1.0,350.0,310.0,n
1645.0,4.0,1.0,1.0,581.0,1000.0,y
1645.0,4.0,1.0,1.0,900.0,1000.0,n
1653.0,1.0,3.0,1.0,1025.0,860.0,y
1653.0,1.0,3.0,1.0,320.0,860.0,n
1715.0,3.0,2.0,1.0,550.0,375.0,y
1715.0,3.0,2.0,1.0,450.0,375.0,n
1838.0,8.0,1.0,2.0,705.0,390.0,y
