"R0000100","R0173600","R0214700","R0214800","R0263710","R0446810","R0702510","R0709400","R0709500","R0712100","R0712200","R0712300","R0712400","R0712500","R0833200","R0833400","R0840100","R0841010","R0854110","R0896711"
1,5,3,2,-5,361,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,5,3,2,457,514,571,0,1,0,-4,-4,-4,-4,2,81,1,571,-4,1
3,5,3,2,397,-5,442,0,1,0,-4,-4,-4,-4,5,80,1,442,-4,0
4,5,3,2,-5,-4,340,0,1,0,-4,-4,-4,-4,9,81,1,340,-4,0
5,1,3,1,333,395,450,0,0,-4,-4,-4,-4,-4,6,81,1,450,-4,0
6,1,3,1,275,-4,335,0,1,0,-4,-4,-4,-4,9,81,1,335,435,1
7,1,3,1,300,300,-4,1,1,0,-4,-4,-4,-4,6,81,1,-4,365,1
8,6,3,2,-4,350,460,0,1,1,1,20000,3,8,2,81,1,460,-4,1
9,1,3,1,200,312,427,0,1,0,-4,-4,-4,-4,2,81,1,427,-4,1
10,6,3,2,318,400,440,1,1,0,-4,-4,-4,-4,2,81,1,440,-4,1
11,1,3,1,-5,833,750,0,1,1,2,550,1,8,12,81,1,750,-4,1
12,5,3,2,291,-4,-4,0,1,1,5,1600000,6,1,7,81,1,-4,-4,1
13,1,3,1,650,391,500,0,0,-4,-4,-4,-4,-4,3,81,1,500,-4,1
14,5,3,2,-4,-4,-4,0,0,-4,-4,-4,-4,-4,1,82,1,-4,435,0
15,1,3,1,100,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,81,1,-4,-4,0
16,5,3,2,-4,625,562,0,1,1,1,20000,3,8,2,81,1,562,-4,1
17,1,3,1,585,600,541,1,1,0,-4,-4,-4,-4,2,81,1,541,-4,1
18,1,3,1,416,524,813,0,1,0,-4,-4,-4,-4,2,81,1,813,-4,1
19,5,3,2,450,405,450,0,1,0,-4,-4,-4,-4,11,81,1,450,375,1
20,5,3,2,-4,-4,790,0,1,1,1,550,1,1,6,81,1,790,-4,1
21,5,3,2,330,412,529,0,1,0,-4,-4,-4,-4,9,81,1,529,78,0
22,5,3,2,200,325,355,0,1,0,-4,-4,-4,-4,2,81,1,355,-4,1
23,1,3,1,-4,-4,375,0,1,0,-4,-4,-4,-4,6,81,1,375,-4,0
24,1,3,1,425,477,600,0,1,0,-4,-4,-4,-4,3,81,1,600,-4,1
25,5,3,2,375,422,497,0,0,-4,-4,-4,-4,-4,3,81,1,497,-4,1
26,1,3,1,500,720,335,0,1,1,1,335,1,10,9,81,1,335,650,1
27,5,3,2,325,415,475,0,1,1,3,19000,3,10,11,81,1,475,470,1
28,5,3,2,125,340,335,1,0,-4,-4,-4,-4,-4,6,81,0,-4,335,1
29,5,3,2,472,-4,536,0,1,0,-4,-4,-4,-4,3,81,1,536,-4,1
30,5,3,2,420,511,416,0,1,1,20,116000,5,2,2,82,1,416,-4,1
31,4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
32,8,1,2,-5,490,560,1,1,0,-4,-4,-4,-4,2,82,1,560,-4,1
33,4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
